"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",6179.01079272854,1.31285487338044,0.142040996447395,9.24278839360759,2.40155611830189e-20,4.99898666419286e-19
"A1BG-AS1",193.439305609272,1.12432748721625,0.177952860504853,6.31811977636394,2.64764778829786e-10,2.39463546987806e-09
"A1CF",960.160728026067,-2.52996452783918,0.368074775526501,-6.87350695037516,6.26424558401815e-12,6.68346201901502e-11
"A2M",27578.1653060966,-1.62846796478074,0.499958700852592,-3.2572049691378,0.00112515154571251,0.0037623146148962
"A2M-AS1",24.8101312845224,1.1081358282304,0.383044017095799,2.89297255347354,0.00381614642988033,0.0112095946818637
"A2ML1",10.7047055973823,-1.53826571577547,0.567328075294595,-2.71142180823098,0.00669953400835632,0.0184793882145527
"A2MP1",0.834654970192189,0.228029141246684,4.95866296028335,0.0459860133816503,0.963321397820703,0.988971033597512
"A3GALT2",0.857681614070027,0.258724370466913,2.06758280712963,0.125133740508363,0.900417672158142,0.954862594661167
"A4GALT",87.0652941360884,-0.687201180392602,0.218066654567577,-3.15133545637829,0.00162525708315276,0.00522421201978864
"A4GNT",1.08808733976541,3.07653415926722,1.88681527581932,1.63054338105848,0.102986704426972,0.191377205494391
"AAAS",1142.04904593596,0.481220234069593,0.0963880139320946,4.99253189726071,5.95928679273682e-07,3.5349501917058e-06
"AACS",1122.94771083945,-0.312006342899959,0.0587881450488073,-5.30730035181284,1.11260762782019e-07,7.28807432525604e-07
"AACSP1",22.3865994036697,-0.782545258224347,0.304894463419022,-2.56661026064249,0.0102697968960074,0.0269707272144753
"AADAC",446.191400093498,-2.13379626261804,0.620745238124428,-3.43747504059035,0.000587164831429219,0.00209742374647649
"AADACL3",0.444569359327716,-4.22590399140141,4.67769668185548,-0.903415565142016,0.366305382106233,NA
"AADACL4",0.838903438648475,1.11560576576794,1.91955515810802,0.581179322227717,0.561119602305499,0.702928095220455
"AADACP1",1.88758608292468,-2.22450741658152,2.39298589542555,-0.929594871759965,0.352580883645785,0.499763211695897
"AADAT",329.798534644559,-0.282570202363198,0.11114492960074,-2.54235801289594,0.0110107327324243,0.0286493961524104
"AAGAB",1115.0080141091,-0.114293523517849,0.0684510400017946,-1.66971200897535,0.0949763566046201,0.179360820527842
"AAK1",1295.84702079334,-0.793516090116667,0.10878929548813,-7.29406405801428,3.00742332611085e-13,3.64821120033834e-12
"AAMDC",453.759815592053,0.410529407161215,0.0856978796431255,4.79042665782159,1.66427048352053e-06,9.29987666844849e-06
"AAMP",3954.71540946943,0.0891820457318791,0.0572732936961561,1.55713143031382,0.119439284148198,0.215354223078852
"AANAT",1.11268357384087,-2.99849388567843,1.44278131553949,-2.07827329989868,0.0376841941895806,0.0824119786020306
"AAR2",925.687307684542,0.127756260773709,0.0610915321959798,2.09122698648105,0.0365077212970104,0.0802100912725233
"AARD",40.2748206869125,0.68108574752114,0.385637725566898,1.76612842148658,0.0773743062116411,0.15124833182093
"AARS1",4454.53929451948,-0.595200230674444,0.0787394627294865,-7.55910962612591,4.05837757380857e-14,5.35039761992585e-13
"AARS2",713.96719317543,-0.0949231980452397,0.0763915177452246,-1.24258819365025,0.214019622752216,0.34229481719311
"AARSD1",66.7774118699115,0.125779201744439,0.186351376544384,0.67495719149937,0.499702963048253,0.648707105840869
"AASDH",239.354843077633,0.283381501905807,0.128472537711173,2.20577492244214,0.027399763000232,0.062755546702363
"AASDHPPT",1233.11511928673,0.419939063351414,0.103441763508232,4.05966651291667,4.9142852555814e-05,0.000217101739953078
"AASS",1708.55236593967,-0.247168357635596,0.0944393042456423,-2.61721917172003,0.00886494001717601,0.0236908857656713
"AATBC",3.53771067539765,0.862132117569923,0.883899956827806,0.975372960378904,0.329375291282605,0.47476870938774
"AATF",894.424610335867,-0.481541886495004,0.0610422872405017,-7.8886606033907,3.05446960914446e-15,4.44032003157647e-14
"AATK",21.6931674893275,-0.460073879674215,0.394368640927977,-1.16660868012129,0.243368436353068,0.377946446392402
"ABALON",521.469760384578,-0.143203891412426,0.124967511596913,-1.14592896651679,0.251824544652922,0.387596065718327
"ABAT",3659.6581276528,-0.00594123391934381,0.119827714842897,-0.0495814672518224,0.960455915456028,0.987699511465329
"ABCA1",9990.37575573877,-1.05004038730509,0.169989009061191,-6.17710752656429,6.52866114263142e-10,5.65967850420715e-09
"ABCA10",9.20592629237893,-0.113356283118001,0.662763371821604,-0.171035829584911,0.864195592737225,0.935126719277248
"ABCA11P",162.926879285587,0.238804283641901,0.130352571881817,1.83198751044521,0.0669532813997773,0.133938628547351
"ABCA12",52.5093278093542,-1.8779580006962,0.316080330744108,-5.94139469632659,2.82607252774044e-09,2.28326981593265e-08
"ABCA13",41.2308344912477,0.382716911319825,0.327400483032599,1.16895646510612,0.242421171940033,0.376802245792676
"ABCA17P",3.6147092801073,1.10808627412547,0.86695723274454,1.27813256787487,0.201202687371713,0.326291055996095
"ABCA2",1820.37008599092,0.768560931637259,0.105278751520227,7.3002473959771,2.87239082650695e-13,3.48947449800859e-12
"ABCA3",1269.4285629947,0.0376974229086481,0.0961427142919005,0.392098592038855,0.694985367786584,0.811939366374574
"ABCA4",35.1611862204431,0.778970482678381,0.411768614589277,1.89176750019031,0.058521965271623,0.119608662925356
"ABCA5",362.322937137235,-0.593277464396896,0.127113665788594,-4.66729883617384,3.05185302046187e-06,1.64414317280343e-05
"ABCA6",237.333394240171,0.484307463347302,0.442580567448207,1.09428090379042,0.273831797901534,0.413719105317594
